Date,Gen Guide Bearing Temp,Gen Thrust Bearing Temperature
1/1/2003,69,69
2/1/2003,70,69
3/1/2003,70,70
4/1/2003,70,69
5/1/2003,70,72.1
6/1/2003,69,72
7/1/2003,70,72
8/1/2003,70,72
9/1/2003,70,73
10/1/2003,70,73
11/1/2003,70,73
12/1/2003,70,73
13/1/2003,70,73
14/1/2003,71,73
15/1/2003,70,73
16/1/2003,71,73
17/1/2003,70,73
18/1/2003,70,73
19/1/2003,70,72
20/1/2003,70,71.5
21/1/2003,70,72
22/1/2003,70,73
23/1/2003,70,73
24/1/2003,70,72
25/1/2003,70,73
26/1/2003,70,73
27/1/2003,71,73
28/1/2003,71,73
29/1/2003,71,72
30/1/2003,71,73
31/1/2003,71,73
1/2/2003,71,73
2/2/2003,71,73
3/2/2003,71,72
4/2/2003,71,72
5/2/2003,71,72
6/2/2003,71,72
7/2/2003,71,72
8/2/2003,71,72
9/2/2003,71,73
10/2/2003,71,73
11/2/2003,71,73
12/2/2003,70,72
13/2/2003,69,73
14/2/2003,69,73
15/2/2003,69,73
16/2/2003,69,73
17/2/2003,69,73
18/2/2003,69,73
19/2/2003,69,73
20/2/2003,69,73
21/2/2003,69,73
22/2/2003,69,73
23/2/2003,69,73
24/2/2003,69,73
25/2/2003,69,73
26/2/2003,69,73
27/2/2003,69,73
28/2/2003,69,73
1/3/2003,69,73
2/3/2003,69,73
3/3/2003,69,73
4/3/2003,69,73
5/3/2003,69,73
6/3/2003,70,74
7/3/2003,70,74
8/3/2003,70,74
9/3/2003,70,73
10/3/2003,70,73
11/3/2003,69,73
12/3/2003,69,73
13/3/2003,69,73
14/3/2003,69,73
15/3/2003,69,73
16/3/2003,69,73
17/3/2003,69,73
18/3/2003,69,73
19/3/2003,69,72
20/3/2003,69,73
21/3/2003,69,72
22/3/2003,68,72
23/3/2003,69,72
24/3/2003,68,72
25/3/2003,68,73
26/3/2003,69,73
27/3/2003,69,73
28/3/2003,69,72
29/3/2003,69,73
30/3/2003,69,73
31/3/2003,69,73
1/4/2003,69,72
2/4/2003,69,72
3/4/2003,69,72
4/4/2003,69,72
5/4/2003,68,71
6/4/2003,69,71
7/4/2003,69,73
8/4/2003,69,73
9/4/2003,69,73
10/4/2003,70,73
11/4/2003,70,73
12/4/2003,70,73
13/4/2003,70,73
14/4/2003,69,71
15/4/2003,69,71
16/4/2003,69,73
17/4/2003,70,73
18/4/2003,69,73
19/4/2003,69,73
20/4/2003,69,73
21/4/2003,69,73
22/4/2003,69,73
23/4/2003,69,72
24/4/2003,70,73
25/4/2003,70,73
26/4/2003,70,73
27/4/2003,69,72
28/4/2003,69,73
29/4/2003,69,73
30/4/2003,69,73
1/5/2003,69,73
2/5/2003,69,72
3/5/2003,69,72
4/5/2003,70,73
5/5/2003,70,73
6/5/2003,70,73
7/5/2003,70,71
8/5/2003,70,72
9/5/2003,69,73
10/5/2003,69,73
11/5/2003,70,73
12/5/2003,70,73
13/5/2003,70,72
14/5/2003,70,71
15/5/2003,0,0
16/5/2003,0,0
17/5/2003,0,0
18/5/2003,0,0
19/5/2003,0,0
20/5/2003,0,0
21/5/2003,0,0
22/5/2003,0,0
23/5/2003,0,0
24/5/2003,0,0
25/5/2003,0,0
26/5/2003,0,0
27/5/2003,71,74
28/5/2003,71,74
29/5/2003,71,74
30/5/2003,71,74
31/5/2003,71,74
1/6/2004,71,74
2/6/2004,71,74
3/6/2004,71,74
4/6/2004,71,73
5/6/2004,71,74
6/6/2004,73,74
7/6/2004,72,74
8/6/2004,72,74
9/6/2004,72,74
10/6/2004,72,74
11/6/2004,72,74
12/6/2004,72,74
13/6/2004,72,74
14/6/2004,72,74
15/6/2004,72,74
16/6/2004,72,74
17/6/2004,72,75
18/6/2004,72,75
19/6/2004,72,74
20/6/2004,73,75
21/6/2004,73,75
22/6/2004,73,75
23/6/2004,74,71
24/6/2004,72,72
25/6/2004,71,71
26/6/2004,70,72
27/6/2004,70,72
28/6/2004,71,72
29/6/2004,71,72
30/6/2004,71,73
1/7/2004,71,72
2/7/2004,71,71
    03/07/2004,72,72
4/7/2004,72,73
5/7/2003,72,73
6/7/2004,72,83
7/7/2004,72,83
8/7/2004,72,73
9/7/2004,72,73
10/7/2004,73,73
11/7/2004,72,73
12/7/2004,72,73
13/7/2004,73,73
14/7/2004,73,73
15/7/2004,73,74
16/7/2004,73,73
17/7/2004,73,74
18/7/2004,72,74
19/7/2004,73,74
20/7/2004,73,74
21/7/2004,73,74
22/7/2004,74,74
23/7/2004,74,71
24/7/2004,74,74
25/7/2004,73,72
26/7/2004,73,74
27/7/2004,73,74
28/7/2004,72,72
29/7/2004,71,69
30/7/2004,71,70
31/7/2004,71,71
1/8/2004,71,69
2/8/2004,71,71
3/8/2004,71,71
4/8/2004,71,71
5/8/2004,71,71
6/8/2004,71,71
7/8/2004,71,71
8/8/2004,71,71
9/8/2004,71,71
10/8/2004,71,71
11/8/2004,71,71
12/8/2004,71,71
13/8/2004,71,71
14/8/2004,71,71
15/8/2004,71,71
16/8/2004,71,71
17/8/2004,71,71
18/8/2004,71,71
19/8/2004,71,71
20/8/2004,71,71
21/8/2004,71,71
22/8/2004,71,71
23/8/2004,71,71
24/8/2004,71,71
25/8/2004,71,71
26/8/2004,71,71
27/8/2004,71,70
28/8/2004,71,70
29/8/2004,71,71
30/8/2004,71,71
31/8/2004,70,71
1/9/2004,71,71
2/9/2004,71,71
3/9/2004,70,70
4/9/2004,71,70
5/9/2004,70,71
6/9/2004,71,72
7/9/2004,71,71
8/9/2004,70,71
9/9/2004,70,71
10/9/2004,70,71
11/9/2004,70,70
12/9/2004,70,71
13/9/2004,70,71
14/9/2004,70,72
15/9/2004,70,72
16/9/2004,70,70
17/9/2004,70,72
18/9/2004,70,72
19/9/2004,70,71
20/9/2004,70,71
21/9/2004,70,72
22/9/2004,70,72
23/9/2004,70,72
24/9/2004,70,72
25/9/2004,71,72
26/9/2004,70,71
27/9/2004,70,72
28/9/2004,70,72
29/9/2004,70,72
30/9/2004,70,72
1/10/2004,70,72
2/10/2004,70,72
3/10/2004,70,72
4/10/2004,70,72
5/10/2004,70,72
6/10/2004,70,72
7/10/2004,70,72
8/10/2004,70,72
9/10/2004,70,72
10/10/2004,70,72
11/10/2004,70,72
12/10/2004,70,70
13/10/2004,70,72
14/10/2004,70,72
15/10/2004,70,72
16/10/2004,70,72
17/10/2004,70,72
18/10/2004,70,72
19/10/2004,70,72
20/10/2004,70,72
21/10/2004,70,72
22/10/2004,70,72
23/10/2004,70,72
24/10/2004,70,72
25/10/2004,70,72
26/10/2004,70,72
27/10/2004,70,72
28/10/2004,70,72
29/10/2004,70,70
30/10/2004,70,71
31/10/2004,70,71
1/11/2004,71,72
2/11/2004,71,72
3/11/2004,70,71
4/11/2004,70,72
5/11/2004,70,72
6/11/2004,70,72
7/11/2004,70,72
8/11/2004,70,70
9/11/2004,70,72
10/11/2004,70,72
11/11/2004,70,70
12/11/2004,70,72
13/11/2004,70,72
14/11/2004,70,72
15/11/2004,70,73
16/11/2004,70,72
17/11/2004,70,72
18/11/2004,70,70
19/11/2004,70,71
20/11/2004,70,70
21/11/2004,71,71
22/11/2004,70,71
23/11/2004,70,70
24/11/2004,70,71
25/11/2004,70,71
26/11/2004,70,72
27/11/2004,70,72
28/11/2004,70,72
29/11/2004,70,72
30/11/2004,70,72
1/12/2004,70,71
2/12/2004,70,72
3/12/2004,70,72
4/12/2004,70,72
5/12/2004,70,72
6/12/2004,70,71
7/12/2004,70,72
8/12/2004,70,72
9/12/2004,70,72
10/12/2004,70,72
11/12/2004,70,72
12/12/2004,70,72
13/12/2004,70,72
14/12/2004,70,72
15/12/2004,71,72
16/12/2004,70,72
17/12/2004,70,72
18/12/2004,70,72
19/12/2004,71,72
20/12/2004,71,72
21/12/2004,70,72
22/12/2004,71,72
23/12/2004,70,72
24/12/2004,70,72
25/12/2004,70,72
26/12/2004,70,72
27/12/2004,70,72
28/12/2004,71,72
29/12/2004,71,71
30/12/2004,71,71
31/12/2004,71,73
1/1/2005,71,73
2/1/2005,71,73
3/1/2005,71,73
4/1/2005,71,73
5/1/2005,72,72
6/1/2005,71,72
7/1/2005,71,73
8/1/2005,71,72
9/1/2005,71,72
10/1/2005,71,72
11/1/2005,71,72
12/1/2005,71,72
13/1/2005,71,73
14/1/2005,71,73
15/1/2005,71,73
16/1/2005,71,73
17/1/2005,71,73
18/1/2005,71,73
19/1/2005,71,73
20/1/2005,71,73
21/1/2005,71,73
22/1/2005,71,73
23/1/2005,71,73
24/1/2005,71,73
25/1/2005,71,73
26/1/2005,71,73
27/1/2005,71,74
28/1/2005,71,74
29/1/2005,71,74
30/1/2005,71,74
31/1/2005,71,74
1/2/2005,71,74
2/2/2005,71,74
3/2/2005,71,74
4/2/2005,71,73
5/2/2005,71,73
